risk,risk_name,week,indicator,weight,value,composite_warning,warning_state
R1,Commercial market-entry / win-rate,122,win_rate_gap,0.4,0.7245,0.5223,0
R1,Commercial market-entry / win-rate,123,win_rate_gap,0.4,0.8219,0.6676,1
R1,Commercial market-entry / win-rate,124,win_rate_gap,0.4,0.7382,0.6127,1
R1,Commercial market-entry / win-rate,125,win_rate_gap,0.4,0.6142,0.624,1
R1,Commercial market-entry / win-rate,126,win_rate_gap,0.4,0.5328,0.5281,0
R1,Commercial market-entry / win-rate,127,win_rate_gap,0.4,0.6879,0.6034,1
R1,Commercial market-entry / win-rate,128,win_rate_gap,0.4,0.5204,0.6127,1
R1,Commercial market-entry / win-rate,129,win_rate_gap,0.4,0.4693,0.5736,1
R1,Commercial market-entry / win-rate,130,win_rate_gap,0.4,0.7919,0.6157,1
R1,Commercial market-entry / win-rate,131,win_rate_gap,0.4,0.7899,0.63,1
R1,Commercial market-entry / win-rate,132,win_rate_gap,0.4,0.6689,0.6398,1
R1,Commercial market-entry / win-rate,133,win_rate_gap,0.4,0.5437,0.6095,1
R1,Commercial market-entry / win-rate,134,win_rate_gap,0.4,0.696,0.5216,0
R1,Commercial market-entry / win-rate,135,win_rate_gap,0.4,0.6095,0.6517,1
R1,Commercial market-entry / win-rate,136,win_rate_gap,0.4,0.6107,0.5699,1
R1,Commercial market-entry / win-rate,137,win_rate_gap,0.4,0.7663,0.6883,1
R1,Commercial market-entry / win-rate,138,win_rate_gap,0.4,0.7251,0.6304,1
R1,Commercial market-entry / win-rate,139,win_rate_gap,0.4,0.7948,0.6514,1
R1,Commercial market-entry / win-rate,140,win_rate_gap,0.4,0.8296,0.6969,1
R1,Commercial market-entry / win-rate,141,win_rate_gap,0.4,0.6714,0.6838,1
R1,Commercial market-entry / win-rate,142,win_rate_gap,0.4,0.3672,0.6713,1
R1,Commercial market-entry / win-rate,143,win_rate_gap,0.4,0.5152,0.546,0
R1,Commercial market-entry / win-rate,144,win_rate_gap,0.4,0.5654,0.6328,1
R1,Commercial market-entry / win-rate,145,win_rate_gap,0.4,0.4315,0.6582,1
R1,Commercial market-entry / win-rate,146,win_rate_gap,0.4,0.7772,0.5479,0
R1,Commercial market-entry / win-rate,147,win_rate_gap,0.4,0.7725,0.6194,1
R1,Commercial market-entry / win-rate,148,win_rate_gap,0.4,0.7555,0.5927,1
R1,Commercial market-entry / win-rate,149,win_rate_gap,0.4,0.6947,0.6581,1
R1,Commercial market-entry / win-rate,150,win_rate_gap,0.4,0.7696,0.5629,1
R1,Commercial market-entry / win-rate,151,win_rate_gap,0.4,0.6065,0.5141,0
R1,Commercial market-entry / win-rate,152,win_rate_gap,0.4,0.5834,0.5074,0
R1,Commercial market-entry / win-rate,153,win_rate_gap,0.4,0.4087,0.5202,0
R1,Commercial market-entry / win-rate,154,win_rate_gap,0.4,0.6323,0.5962,1
R1,Commercial market-entry / win-rate,155,win_rate_gap,0.4,0.617,0.6106,1
R1,Commercial market-entry / win-rate,156,win_rate_gap,0.4,0.5587,0.7232,1
R1,Commercial market-entry / win-rate,1,competitor_releases,0.2,0.614,0.708,1
R1,Commercial market-entry / win-rate,2,competitor_releases,0.2,0.6537,0.6162,1
R1,Commercial market-entry / win-rate,3,competitor_releases,0.2,0.7857,0.6716,1
R1,Commercial market-entry / win-rate,4,competitor_releases,0.2,0.6519,0.5999,1
R1,Commercial market-entry / win-rate,5,competitor_releases,0.2,0.5659,0.5649,1
R1,Commercial market-entry / win-rate,6,competitor_releases,0.2,0.604,0.5436,0
R1,Commercial market-entry / win-rate,7,competitor_releases,0.2,0.7249,0.697,1
R1,Commercial market-entry / win-rate,8,competitor_releases,0.2,0.5495,0.5311,0
R1,Commercial market-entry / win-rate,9,competitor_releases,0.2,0.5362,0.6743,1
R1,Commercial market-entry / win-rate,10,competitor_releases,0.2,0.5511,0.5651,1
R1,Commercial market-entry / win-rate,11,competitor_releases,0.2,0.5778,0.7038,1
R1,Commercial market-entry / win-rate,12,competitor_releases,0.2,0.4949,0.6995,1
R1,Commercial market-entry / win-rate,13,competitor_releases,0.2,0.6615,0.6915,1
R1,Commercial market-entry / win-rate,14,competitor_releases,0.2,0.6541,0.6894,1
R1,Commercial market-entry / win-rate,15,competitor_releases,0.2,0.3837,0.5315,0
R1,Commercial market-entry / win-rate,16,competitor_releases,0.2,0.622,0.6025,1
R1,Commercial market-entry / win-rate,17,competitor_releases,0.2,0.6998,0.5518,1
R1,Commercial market-entry / win-rate,18,competitor_releases,0.2,0.668,0.5517,1
R1,Commercial market-entry / win-rate,19,competitor_releases,0.2,0.6617,0.6865,1
R1,Commercial market-entry / win-rate,20,competitor_releases,0.2,0.6261,0.6528,1
R1,Commercial market-entry / win-rate,21,competitor_releases,0.2,0.5995,0.5788,1
R1,Commercial market-entry / win-rate,22,competitor_releases,0.2,0.5019,0.5527,1
R1,Commercial market-entry / win-rate,23,competitor_releases,0.2,0.645,0.6492,1
R1,Commercial market-entry / win-rate,24,competitor_releases,0.2,0.6692,0.5505,1
R1,Commercial market-entry / win-rate,25,competitor_releases,0.2,0.8203,0.5783,1
R1,Commercial market-entry / win-rate,26,competitor_releases,0.2,0.7451,0.6297,1
R1,Commercial market-entry / win-rate,27,competitor_releases,0.2,0.5779,0.6793,1
R1,Commercial market-entry / win-rate,28,competitor_releases,0.2,0.5318,0.674,1
R1,Commercial market-entry / win-rate,29,competitor_releases,0.2,0.5995,0.4867,0
R1,Commercial market-entry / win-rate,30,competitor_releases,0.2,0.7142,0.6503,1
R1,Commercial market-entry / win-rate,31,competitor_releases,0.2,0.6001,0.6419,1
R1,Commercial market-entry / win-rate,32,competitor_releases,0.2,0.488,0.6001,1
R1,Commercial market-entry / win-rate,33,competitor_releases,0.2,0.5722,0.6791,1
R1,Commercial market-entry / win-rate,34,competitor_releases,0.2,0.6406,0.5104,0
R1,Commercial market-entry / win-rate,35,competitor_releases,0.2,0.6306,0.6035,1
R1,Commercial market-entry / win-rate,36,competitor_releases,0.2,0.6383,0.651,1
R1,Commercial market-entry / win-rate,37,competitor_releases,0.2,0.5496,0.4913,0
R1,Commercial market-entry / win-rate,38,competitor_releases,0.2,0.7134,0.6818,1
R1,Commercial market-entry / win-rate,39,competitor_releases,0.2,0.5875,0.6297,1
R1,Commercial market-entry / win-rate,40,competitor_releases,0.2,0.4428,0.6675,1
R1,Commercial market-entry / win-rate,41,competitor_releases,0.2,0.5925,0.5979,1
R1,Commercial market-entry / win-rate,42,competitor_releases,0.2,0.7514,0.6689,1
R1,Commercial market-entry / win-rate,43,competitor_releases,0.2,0.485,0.642,1
R1,Commercial market-entry / win-rate,44,competitor_releases,0.2,0.3721,0.6258,1
R1,Commercial market-entry / win-rate,45,competitor_releases,0.2,0.4253,0.6326,1
R1,Commercial market-entry / win-rate,46,competitor_releases,0.2,0.687,0.6454,1
R1,Commercial market-entry / win-rate,47,competitor_releases,0.2,0.6211,0.5926,1
R1,Commercial market-entry / win-rate,48,competitor_releases,0.2,0.6325,0.6195,1
R1,Commercial market-entry / win-rate,49,competitor_releases,0.2,0.6436,0.6046,1
R1,Commercial market-entry / win-rate,50,competitor_releases,0.2,0.3166,0.6279,1
R1,Commercial market-entry / win-rate,51,competitor_releases,0.2,0.6143,0.6737,1
R1,Commercial market-entry / win-rate,52,competitor_releases,0.2,0.7236,0.5725,1
R1,Commercial market-entry / win-rate,53,competitor_releases,0.2,0.4449,0.5584,1
R1,Commercial market-entry / win-rate,54,competitor_releases,0.2,0.5545,0.6708,1
R1,Commercial market-entry / win-rate,55,competitor_releases,0.2,0.5763,0.5859,1
R1,Commercial market-entry / win-rate,56,competitor_releases,0.2,0.4481,0.5404,0
R1,Commercial market-entry / win-rate,57,competitor_releases,0.2,0.5787,0.633,1
R1,Commercial market-entry / win-rate,58,competitor_releases,0.2,0.7458,0.6797,1
R1,Commercial market-entry / win-rate,59,competitor_releases,0.2,0.7987,0.6076,1
R1,Commercial market-entry / win-rate,60,competitor_releases,0.2,0.6265,0.7161,1
R1,Commercial market-entry / win-rate,61,competitor_releases,0.2,0.8497,0.6338,1
R1,Commercial market-entry / win-rate,62,competitor_releases,0.2,0.6842,0.6812,1
R1,Commercial market-entry / win-rate,63,competitor_releases,0.2,0.7982,0.6413,1
R1,Commercial market-entry / win-rate,64,competitor_releases,0.2,0.5679,0.6848,1
R1,Commercial market-entry / win-rate,65,competitor_releases,0.2,0.6163,0.6095,1
R1,Commercial market-entry / win-rate,66,competitor_releases,0.2,0.6655,0.5273,0
R1,Commercial market-entry / win-rate,67,competitor_releases,0.2,0.9716,0.6685,1
R1,Commercial market-entry / win-rate,68,competitor_releases,0.2,0.6522,0.5745,1
R1,Commercial market-entry / win-rate,69,competitor_releases,0.2,0.5398,0.6317,1
R1,Commercial market-entry / win-rate,70,competitor_releases,0.2,0.7312,0.6942,1
R1,Commercial market-entry / win-rate,71,competitor_releases,0.2,0.6998,0.5017,0
R1,Commercial market-entry / win-rate,72,competitor_releases,0.2,0.6535,0.5333,0
R1,Commercial market-entry / win-rate,73,competitor_releases,0.2,0.6702,0.4822,0
R1,Commercial market-entry / win-rate,74,competitor_releases,0.2,0.6021,0.5688,1
R1,Commercial market-entry / win-rate,75,competitor_releases,0.2,0.5702,0.6276,1
R1,Commercial market-entry / win-rate,76,competitor_releases,0.2,0.585,0.6477,1
R1,Commercial market-entry / win-rate,77,competitor_releases,0.2,0.666,0.6201,1
R1,Commercial market-entry / win-rate,78,competitor_releases,0.2,0.7204,0.5501,1
R1,Commercial market-entry / win-rate,79,competitor_releases,0.2,0.3634,0.4998,0
R1,Commercial market-entry / win-rate,80,competitor_releases,0.2,0.6535,0.5931,1
R1,Commercial market-entry / win-rate,81,competitor_releases,0.2,0.3972,0.5822,1
R1,Commercial market-entry / win-rate,82,competitor_releases,0.2,0.4463,0.6298,1
R1,Commercial market-entry / win-rate,83,competitor_releases,0.2,0.5533,0.6371,1
R1,Commercial market-entry / win-rate,84,competitor_releases,0.2,0.5957,0.6132,1
R1,Commercial market-entry / win-rate,85,competitor_releases,0.2,0.4927,0.6245,1
R1,Commercial market-entry / win-rate,86,competitor_releases,0.2,0.6998,0.6548,1
R1,Commercial market-entry / win-rate,87,competitor_releases,0.2,0.3771,0.6139,1
R1,Commercial market-entry / win-rate,88,competitor_releases,0.2,0.4946,0.5573,1
R1,Commercial market-entry / win-rate,89,competitor_releases,0.2,0.6558,0.6268,1
R1,Commercial market-entry / win-rate,90,competitor_releases,0.2,0.5433,0.6094,1
R1,Commercial market-entry / win-rate,91,competitor_releases,0.2,0.5887,0.6475,1
R1,Commercial market-entry / win-rate,92,competitor_releases,0.2,0.5945,0.5993,1
R1,Commercial market-entry / win-rate,93,competitor_releases,0.2,0.8388,0.6614,1
R1,Commercial market-entry / win-rate,94,competitor_releases,0.2,0.5612,0.5887,1
R1,Commercial market-entry / win-rate,95,competitor_releases,0.2,0.3865,0.5696,1
R1,Commercial market-entry / win-rate,96,competitor_releases,0.2,0.4148,0.6248,1
R1,Commercial market-entry / win-rate,97,competitor_releases,0.2,0.6986,0.5048,0
R1,Commercial market-entry / win-rate,98,competitor_releases,0.2,0.5392,0.5202,0
R1,Commercial market-entry / win-rate,99,competitor_releases,0.2,0.5894,0.5366,0
R1,Commercial market-entry / win-rate,100,competitor_releases,0.2,0.6491,0.4755,0
R1,Commercial market-entry / win-rate,101,competitor_releases,0.2,0.6598,0.5786,1
R1,Commercial market-entry / win-rate,102,competitor_releases,0.2,0.6984,0.678,1
R1,Commercial market-entry / win-rate,103,competitor_releases,0.2,0.4842,0.5746,1
R1,Commercial market-entry / win-rate,104,competitor_releases,0.2,0.4151,0.6242,1
R1,Commercial market-entry / win-rate,105,competitor_releases,0.2,0.4809,0.6537,1
R1,Commercial market-entry / win-rate,106,competitor_releases,0.2,0.6315,0.6693,1
R1,Commercial market-entry / win-rate,107,competitor_releases,0.2,0.7617,0.5945,1
R1,Commercial market-entry / win-rate,108,competitor_releases,0.2,0.5377,0.6595,1
R1,Commercial market-entry / win-rate,109,competitor_releases,0.2,0.3616,0.6532,1
R1,Commercial market-entry / win-rate,110,competitor_releases,0.2,0.4766,0.5556,1
R1,Commercial market-entry / win-rate,111,competitor_releases,0.2,0.5293,0.5886,1
R1,Commercial market-entry / win-rate,112,competitor_releases,0.2,0.5694,0.5447,0
R1,Commercial market-entry / win-rate,113,competitor_releases,0.2,0.5708,0.5293,0
R1,Commercial market-entry / win-rate,114,competitor_releases,0.2,0.6173,0.553,1
R1,Commercial market-entry / win-rate,115,competitor_releases,0.2,0.5425,0.648,1
R1,Commercial market-entry / win-rate,116,competitor_releases,0.2,0.7444,0.6712,1
R1,Commercial market-entry / win-rate,117,competitor_releases,0.2,0.5338,0.549,0
R1,Commercial market-entry / win-rate,118,competitor_releases,0.2,0.6234,0.676,1
R1,Commercial market-entry / win-rate,119,competitor_releases,0.2,0.7448,0.5928,1
R1,Commercial market-entry / win-rate,120,competitor_releases,0.2,0.4636,0.6295,1
R1,Commercial market-entry / win-rate,121,competitor_releases,0.2,0.6176,0.5801,1
R1,Commercial market-entry / win-rate,122,competitor_releases,0.2,0.5685,0.5223,0
R1,Commercial market-entry / win-rate,123,competitor_releases,0.2,0.6567,0.6676,1
R1,Commercial market-entry / win-rate,124,competitor_releases,0.2,0.801,0.6127,1
R1,Commercial market-entry / win-rate,125,competitor_releases,0.2,0.5688,0.624,1
R1,Commercial market-entry / win-rate,126,competitor_releases,0.2,0.7521,0.5281,0
R1,Commercial market-entry / win-rate,127,competitor_releases,0.2,0.6349,0.6034,1
R1,Commercial market-entry / win-rate,128,competitor_releases,0.2,0.4955,0.6127,1
R1,Commercial market-entry / win-rate,129,competitor_releases,0.2,0.565,0.5736,1
R1,Commercial market-entry / win-rate,130,competitor_releases,0.2,0.471,0.6157,1
R1,Commercial market-entry / win-rate,131,competitor_releases,0.2,0.5437,0.63,1
R1,Commercial market-entry / win-rate,132,competitor_releases,0.2,0.6594,0.6398,1
R1,Commercial market-entry / win-rate,133,competitor_releases,0.2,0.6595,0.6095,1
R1,Commercial market-entry / win-rate,134,competitor_releases,0.2,0.5395,0.5216,0
R1,Commercial market-entry / win-rate,135,competitor_releases,0.2,0.7091,0.6517,1
R1,Commercial market-entry / win-rate,136,competitor_releases,0.2,0.7481,0.5699,1
R1,Commercial market-entry / win-rate,137,competitor_releases,0.2,0.845,0.6883,1
R1,Commercial market-entry / win-rate,138,competitor_releases,0.2,0.5423,0.6304,1
R1,Commercial market-entry / win-rate,139,competitor_releases,0.2,0.7512,0.6514,1
R1,Commercial market-entry / win-rate,140,competitor_releases,0.2,0.4151,0.6969,1
R1,Commercial market-entry / win-rate,141,competitor_releases,0.2,0.593,0.6838,1
R1,Commercial market-entry / win-rate,142,competitor_releases,0.2,0.499,0.6713,1
R1,Commercial market-entry / win-rate,143,competitor_releases,0.2,0.5379,0.546,0
R1,Commercial market-entry / win-rate,144,competitor_releases,0.2,0.5667,0.6328,1
R1,Commercial market-entry / win-rate,145,competitor_releases,0.2,0.6816,0.6582,1
R1,Commercial market-entry / win-rate,146,competitor_releases,0.2,0.7431,0.5479,0
R1,Commercial market-entry / win-rate,147,competitor_releases,0.2,0.6378,0.6194,1
R1,Commercial market-entry / win-rate,148,competitor_releases,0.2,0.6421,0.5927,1
R1,Commercial market-entry / win-rate,149,competitor_releases,0.2,0.5845,0.6581,1
R1,Commercial market-entry / win-rate,150,competitor_releases,0.2,0.5685,0.5629,1
R1,Commercial market-entry / win-rate,151,competitor_releases,0.2,0.597,0.5141,0
R1,Commercial market-entry / win-rate,152,competitor_releases,0.2,0.7277,0.5074,0
R1,Commercial market-entry / win-rate,153,competitor_releases,0.2,0.7706,0.5202,0
R1,Commercial market-entry / win-rate,154,competitor_releases,0.2,0.8814,0.5962,1
R1,Commercial market-entry / win-rate,155,competitor_releases,0.2,0.7063,0.6106,1
R1,Commercial market-entry / win-rate,156,competitor_releases,0.2,0.7,0.7232,1
R1,Commercial market-entry / win-rate,1,sales_eng_vacancy,0.2,0.8224,0.708,1
R1,Commercial market-entry / win-rate,2,sales_eng_vacancy,0.2,0.719,0.6162,1
R1,Commercial market-entry / win-rate,3,sales_eng_vacancy,0.2,0.9788,0.6716,1
R1,Commercial market-entry / win-rate,4,sales_eng_vacancy,0.2,0.6625,0.5999,1
R1,Commercial market-entry / win-rate,5,sales_eng_vacancy,0.2,0.6629,0.5649,1
R1,Commercial market-entry / win-rate,6,sales_eng_vacancy,0.2,0.5568,0.5436,0
R1,Commercial market-entry / win-rate,7,sales_eng_vacancy,0.2,0.9553,0.697,1
R1,Commercial market-entry / win-rate,8,sales_eng_vacancy,0.2,0.4734,0.5311,0
R1,Commercial market-entry / win-rate,9,sales_eng_vacancy,0.2,0.8688,0.6743,1
R1,Commercial market-entry / win-rate,10,sales_eng_vacancy,0.2,0.508,0.5651,1
R1,Commercial market-entry / win-rate,11,sales_eng_vacancy,0.2,0.9813,0.7038,1
R1,Commercial market-entry / win-rate,12,sales_eng_vacancy,0.2,0.3773,0.6995,1
R1,Commercial market-entry / win-rate,13,sales_eng_vacancy,0.2,1.0,0.6915,1
R1,Commercial market-entry / win-rate,14,sales_eng_vacancy,0.2,0.2641,0.6894,1
R1,Commercial market-entry / win-rate,15,sales_eng_vacancy,0.2,0.0,0.5315,0
R1,Commercial market-entry / win-rate,16,sales_eng_vacancy,0.2,0.6627,0.6025,1
